roll,membrane,date,text
Roll A 1a: April 1323 - Aug 1326,Membrane 1,No date,"Letter from the Mayor to the Earl of Kent, acknowledging his request of 20 Jan. for a force of 50 arbalesters for service against the Castle of Wallingford (fn. 1), which was then held by rebels. The matter had been laid before the Commonalty, who replied that it was impossible to raise the men, because the citizens had undertaken to hold the City for the King, as surety for which the Queen and her children were dwelling in London, and the duty of guarding the City against sudden surprise, as well as losses by piracy at sea, had greatly impoverished the citizens. (F)"
Roll A 1a: April 1323 - Aug 1326,Membrane 1,1323/04/06,"The King's writ (fn. 2) to the Mayor and Sheriffs, to the effect that the people of middle condition in the City [mediocris populi] had complained of interference by the Mayor and Sheriffs with their ancient right of selling small wares at the head of Cheap in the evening, whereby their livelihood was taken from them. They are to be allowed to sell as before, unless the Mayor and Sheriffs can show sufficient reason to the contrary. Dated at the Tower of London, 6 April Ao 16 Edw. II [1323]. (L)"
Roll A 1a: April 1323 - Aug 1326,Membrane 1,1323/04/15,"Another writ to the same effect. Dated at the Tower, 15 April the above year. (L) A note that a proclamation was made in accordance with the writs. (L)"
Roll A 1a: April 1323 - Aug 1326,Membrane 1,1323/07/28,"Further writ with regard to sales during the evening hours at Cornhill. A presentment had been made before Hervey de Staunton and the other Itinerant Justices at the Tower that Simon Ricongey and others had sold old clothes, shoes and other goods by night at Cornhill in deception of the people, although such sales were lawful only between sunrise and noon, and judgment had been given that in future these goods should not be exposed for sale after vespers struck at the Church of St Thomas the Martyr of Acon. Owing to subsequent complaints, the Mayor and Aldermen had been several times ordered to proceed against offenders, but had been remiss in levying the fines due from them to the King, on the ground that these writs had been obtained by John Waldeshef (fn. 3) against the liberty of the City, to which jurisdiction in this matter and the fines arising therefrom were claimed to belong. Moreover the above John, although he had no part in obtaining the writs, had been removed from the counsel of the City, forbidden to practise in the Courts, and deprived of the pension which he had enjoyed. Accordingly the Mayor and Aldermen are commanded to revoke their measures against him, and to collect the fines due to the King without delay, any question as to the latter being reserved for the consideration of the King's Court. Dated at ""Couwik,"" 28 July Ao 17 Edw. II [1323]. (L)"
Roll A 1a: April 1323 - Aug 1326,Membrane 1,1323/09/03,"Letter from the Mayor, Aldermen and Commonalty of the City of London to the Mayor, Barons and Bailiffs of Dover on behalf of Roesia, widow of John de Boreford of London, whose goods had been arrested in Dover for the payment of £9. They are requested to notify the cause of this arrest by the bearer. Dated 3 Sept. Ao 17 Edw. II [1323]. (F)"
Roll A 1a: April 1323 - Aug 1326,Membr. 1b,1323/08/26,"The King's writ forbidding the Mayor and Sheriffs to exact from the merchant-vintners of Aquitaine a new toll of two shillings for each cask of wine unloaded in London, since the Charter of Edw. I (fn. 4) had granted to such merchants freedom to sell wholesale and retail, subject to a toll of two shillings on each cask, payable to the King, and the payment of the ancient dues to the authorities of the City. Dated at ""Daneby,"" 26 Aug. Ao 17 Edw. II [1323]. (L)"
Roll A 1a: April 1323 - Aug 1326,Membr. 1b,1323/08/30,"Further writ ""alias"" commanding the Mayor and Sheriffs to obey previous writs on the same subject, or else to appear before the King within fifteen days of Michaelmas. Dated at ""Grenhou,"" 30 Aug. (L) Return to the effect that the above two writs were received on Friday before the quinzaine of Michaelmas, and that it was impossible to obey the writ ""alias"" owing to the shortness of time. (L)"
Roll A 1a: April 1323 - Aug 1326,Membr. 1b,No date,"Letter from Nicholas de Farndon, Mayor, and the Sheriffs to the King acknowledging receipt of his orders to seize all letters which were prejudicial to him or related to Master John de Stratford (fn. 5), who had accepted the bishopric of Win Chester against the King's wish. The writers report that on Stratford's arrival in London they had seized nineteen Bulls, of which five were patent and three close. The Bishop had forbidden them to look at these Bulls, because they related to the King's private affairs, which he had in charge. Accordingly they had forwarded them to the King under their seals. Nine other Bulls Close were directed on the covers to the Queen, the Prelates and other magnates of the realm. These also had been sealed and would be delivered to the King by a serjeant. (F)"
Roll A 1a: April 1323 - Aug 1326,Membr. 1b,No date,"Letter from Nicholas de Farndon, Mayor, and the Commonalty of London to the Mayor and Bailiffs of Faversham on behalf of Hugh de Brandon of London, whose goods had been arrested in Faversham at the suit of Robert de Selgrave for a debt owed to the latter by Hamo le Barbier of London. They are requested to return the goods to their rightful owner. (F)"
Roll A 1a: April 1323 - Aug 1326,Membr. 2,No date,"Letter from Hamo de Chigwell, Mayor, and the good men of the City of London to the Mayor and Bailiffs of Dover on behalf of John de Grantham of London, whose factor, William de Thorneye, had been forcibly deprived of his master's goods by a certain William Virgil of Dover, on the ground that Henry Nasard of London owed the latter 100s. They are requested to secure the restoration of the goods, lest the Mayor of London should find it necessary to make reprisals. (F)"
